SSN,ShowDate
697,1970-07-01
698,1970-07-04
699,1970-07-08
700,1970-07-09
701,1970-07-10
702,1970-07-11
703,1970-07-12
704,1970-07-14
705,1970-07-16
708,1970-07-30
711,1970-08-17
712,1970-08-18
713,1970-08-19
716,1970-08-30
717,1970-09-17
718,1970-09-18
719,1970-09-19
720,1970-09-20
722,1970-09-26
723,1970-10-04
724,1970-10-05
725,1970-10-10
726,1970-10-11
727,1970-10-16
728,1970-10-17
729,1970-10-18
730,1970-10-18
731,1970-10-23
732,1970-10-24
734,1970-10-30
735,1970-10-30
736,1970-10-31
737,1970-10-31
738,1970-11-05
739,1970-11-06
740,1970-11-07
741,1970-11-08
744,1970-11-11
745,1970-11-12
748,1970-11-16
749,1970-11-20
750,1970-11-21
751,1970-11-21
752,1970-11-22
753,1970-11-23
754,1970-11-27
755,1970-11-29
756,1970-12-12
760,1970-12-23
761,1970-12-26
762,1970-12-27
763,1970-12-28
764,1970-12-31
765,1970-12-31
766,1971-01-21
767,1971-01-22
768,1971-01-24
769,1971-02-18
770,1971-02-19
771,1971-02-20
772,1971-02-21
773,1971-02-23
774,1971-02-24
775,1971-03-03
777,1971-03-13
778,1971-03-14
779,1971-03-17
780,1971-03-18
781,1971-03-20
782,1971-03-21
783,1971-03-24
784,1971-04-04
785,1971-04-05
786,1971-04-06
787,1971-04-07
788,1971-04-08
789,1971-04-10
790,1971-04-12
791,1971-04-13
792,1971-04-14
793,1971-04-15
794,1971-04-17
795,1971-04-18
796,1971-04-21
797,1971-04-22
798,1971-04-24
799,1971-04-25
800,1971-04-26
801,1971-04-27
802,1971-04-28
803,1971-04-29
804,1971-05-29
805,1971-05-30
807,1971-06-21
808,1971-07-02
809,1971-07-31
810,1971-08-04
811,1971-08-05
812,1971-08-06
813,1971-08-07
814,1971-08-14
815,1971-08-15
816,1971-08-21
817,1971-08-23
818,1971-08-24
819,1971-08-26
822,1971-10-19
823,1971-10-21
824,1971-10-22
825,1971-10-23
826,1971-10-24
827,1971-10-26
828,1971-10-27
829,1971-10-29
830,1971-10-30
831,1971-10-31
832,1971-11-06
833,1971-11-07
834,1971-11-11
835,1971-11-12
836,1971-11-14
837,1971-11-15
838,1971-11-17
839,1971-11-20
840,1971-12-01
841,1971-12-02
842,1971-12-04
843,1971-12-05
844,1971-12-06
845,1971-12-07
846,1971-12-09
847,1971-12-10
848,1971-12-14
849,1971-12-15
850,1971-12-31
851,1972-01-02
852,1972-03-05
853,1972-03-21
854,1972-03-22
855,1972-03-23
856,1972-03-25
857,1972-03-26
858,1972-03-27
859,1972-03-28
860,1972-04-07
861,1972-04-08
862,1972-04-11
863,1972-04-14
864,1972-04-16
865,1972-04-17
866,1972-04-21
867,1972-04-24
868,1972-04-26
869,1972-04-29
870,1972-05-03
871,1972-05-04
872,1972-05-07
873,1972-05-10
874,1972-05-11
875,1972-05-13
876,1972-05-16
877,1972-05-18
878,1972-05-23
879,1972-05-24
880,1972-05-25
881,1972-05-26
882,1972-06-17
883,1972-07-16
884,1972-07-18
885,1972-07-21
886,1972-07-22
887,1972-07-25
888,1972-07-26
889,1972-08-12
890,1972-08-20
891,1972-08-21
892,1972-08-22
893,1972-08-24
894,1972-08-25
895,1972-08-27
896,1972-09-03
897,1972-09-09
898,1972-09-10
899,1972-09-15
900,1972-09-16
901,1972-09-17
902,1972-09-19
903,1972-09-21
904,1972-09-23
905,1972-09-24
906,1972-09-26
907,1972-09-27
908,1972-09-28
909,1972-09-30
910,1972-10-02
911,1972-10-09
912,1972-10-17
913,1972-10-18
914,1972-10-19
915,1972-10-21
916,1972-10-23
917,1972-10-24
918,1972-10-26
919,1972-10-27
920,1972-10-28
921,1972-10-30
922,1972-11-12
923,1972-11-13
924,1972-11-14
925,1972-11-15
926,1972-11-17
927,1972-11-18
928,1972-11-19
929,1972-11-22
930,1972-11-24
931,1972-11-26
932,1972-12-10
933,1972-12-11
934,1972-12-12
935,1972-12-15
936,1972-12-31
937,1973-02-09
938,1973-02-15
939,1973-02-17
940,1973-02-19
941,1973-02-21
942,1973-02-22
943,1973-02-24
944,1973-02-26
945,1973-02-28
946,1973-03-15
947,1973-03-16
948,1973-03-19
949,1973-03-21
950,1973-03-22
951,1973-03-24
952,1973-03-26
953,1973-03-28
954,1973-03-30
955,1973-03-31
956,1973-04-02
957,1973-05-13
958,1973-05-20
959,1973-05-26
960,1973-06-09
961,1973-06-10
962,1973-06-22
963,1973-06-24
964,1973-06-26
965,1973-06-29
966,1973-06-30
967,1973-07-01
968,1973-07-27
969,1973-07-28
970,1973-07-31
971,1973-08-01
972,1973-09-07
973,1973-09-08
974,1973-09-11
975,1973-09-12
976,1973-09-15
977,1973-09-17
979,1973-09-20
980,1973-09-21
981,1973-09-24
982,1973-09-26
983,1973-10-19
984,1973-10-21
985,1973-10-23
986,1973-10-25
987,1973-10-27
988,1973-10-29
989,1973-10-30
990,1973-11-01
991,1973-11-09
992,1973-11-10
993,1973-11-11
994,1973-11-14
995,1973-11-17
996,1973-11-20
997,1973-11-21
998,1973-11-23
999,1973-11-25
1000,1973-11-30
1001,1973-12-01
1002,1973-12-02
1003,1973-12-04
1004,1973-12-06
1005,1973-12-08
1006,1973-12-10
1007,1973-12-12
1008,1973-12-18
1009,1973-12-19
1010,1974-02-22
1011,1974-02-23
1012,1974-02-24
1013,1974-03-23
1014,1974-05-12
1015,1974-05-14
1016,1974-05-17
1017,1974-05-19
1018,1974-05-21
1019,1974-05-25
1020,1974-06-08
1021,1974-06-16
1022,1974-06-18
1023,1974-06-20
1024,1974-06-22
1025,1974-06-23
1026,1974-06-26
1027,1974-06-28
1028,1974-06-30
1029,1974-07-19
1030,1974-07-21
1031,1974-07-25
1032,1974-07-27
1033,1974-07-29
1034,1974-07-31
1035,1974-08-04
1036,1974-08-05
1037,1974-08-06
1038,1974-09-09
1039,1974-09-10
1040,1974-09-11
1041,1974-09-14
1042,1974-09-18
1043,1974-09-20
1044,1974-09-21
1045,1974-10-16
1046,1974-10-17
1047,1974-10-18
1048,1974-10-19
1049,1974-10-20
1050,1975-03-23
1051,1975-06-17
1052,1975-08-13
1053,1975-09-28
1054,1976-06-03
1055,1976-06-04
1056,1976-06-09
1057,1976-06-10
1058,1976-06-11
1059,1976-06-12
1060,1976-06-14
1061,1976-06-15
1062,1976-06-17
1063,1976-06-18
1064,1976-06-19
1065,1976-06-21
1066,1976-06-22
1067,1976-06-23
1068,1976-06-24
1069,1976-06-26
1070,1976-06-27
1071,1976-06-28
1072,1976-06-29
1073,1976-07-12
1074,1976-07-13
1075,1976-07-14
1076,1976-07-16
1077,1976-07-17
1078,1976-07-18
1079,1976-08-02
1080,1976-08-04
1081,1976-09-23
1082,1976-09-24
1083,1976-09-25
1084,1976-09-27
1085,1976-09-28
1086,1976-09-30
1087,1976-10-01
1088,1976-10-02
1089,1976-10-03
1090,1976-10-09
1091,1976-10-10
1092,1976-10-14
1093,1976-10-15
1094,1976-12-31
1095,1977-02-26
1096,1977-02-27
1097,1977-03-18
1098,1977-03-19
1099,1977-03-20
1100,1977-04-22
1101,1977-04-23
1102,1977-04-25
1103,1977-04-26
1104,1977-04-27
1105,1977-04-29
1106,1977-04-30
1107,1977-05-01
1108,1977-05-03
1109,1977-05-04
1110,1977-05-05
1111,1977-05-07
1112,1977-05-08
1113,1977-05-09
1114,1977-05-11
1115,1977-05-12
1116,1977-05-13
1117,1977-05-15
1118,1977-05-17
1119,1977-05-18
1120,1977-05-19
1121,1977-05-21
1122,1977-05-22
1123,1977-05-25
1124,1977-05-26
1125,1977-05-28
1126,1977-06-04
1127,1977-06-07
1128,1977-06-08
1129,1977-06-09
1130,1977-09-03
1131,1977-09-28
1132,1977-09-29
1133,1977-10-01
1134,1977-10-02
1135,1977-10-06
1136,1977-10-07
1137,1977-10-09
1138,1977-10-11
1139,1977-10-12
1140,1977-10-14
1141,1977-10-15
1142,1977-10-16
1143,1977-10-28
1144,1977-10-29
1145,1977-10-30
1146,1977-11-01
1147,1977-11-02
1148,1977-11-04
1149,1977-11-05
1150,1977-11-06
1151,1977-12-27
1152,1977-12-29
1153,1977-12-30
1154,1977-12-31
1155,1978-01-06
1156,1978-01-07
1157,1978-01-08
1158,1978-01-10
1159,1978-01-11
1160,1978-01-13
1161,1978-01-14
1162,1978-01-15
1163,1978-01-17
1164,1978-01-18
1165,1978-01-22
1166,1978-01-30
1167,1978-01-31
1168,1978-02-01
1169,1978-02-03
1170,1978-02-04
1171,1978-02-05
1172,1978-04-06
1173,1978-04-07
1174,1978-04-08
1175,1978-04-10
1176,1978-04-11
1177,1978-04-12
1178,1978-04-14
1179,1978-04-15
1180,1978-04-16
1181,1978-04-18
1182,1978-04-19
1183,1978-04-21
1184,1978-04-22
1185,1978-04-24
1186,1978-05-05
1187,1978-05-06
1188,1978-05-07
1189,1978-05-09
1190,1978-05-10
1191,1978-05-11
1192,1978-05-13
1193,1978-05-14
1194,1978-05-16
1195,1978-05-17
1196,1978-06-04
1197,1978-06-25
1198,1978-07-01
1199,1978-07-03
1200,1978-07-05
1201,1978-07-07
1202,1978-07-08
1203,1978-08-30
1204,1978-08-31
1205,1978-09-02
1206,1978-09-14
1207,1978-09-15
1208,1978-09-16
1209,1978-10-17
1210,1978-10-18
1211,1978-10-20
1212,1978-10-21
1213,1978-10-22
1214,1978-11-11
1215,1978-11-13
1216,1978-11-14
1217,1978-11-16
1218,1978-11-17
1219,1978-11-17
1220,1978-11-18
1221,1978-11-20
1222,1978-11-21
1223,1978-11-23
1224,1978-11-24
1225,1978-12-12
1226,1978-12-13
1227,1978-12-15
1228,1978-12-16
1229,1978-12-17
1230,1978-12-19
1231,1978-12-21
1232,1978-12-22
1233,1978-12-27
1234,1978-12-28
1235,1978-12-30
1236,1978-12-31
1237,1979-01-05
1238,1979-01-07
1239,1979-01-08
1240,1979-01-10
1241,1979-01-11
1242,1979-01-12
1243,1979-01-14
1244,1979-01-15
1245,1979-01-17
1246,1979-01-18
1247,1979-01-20
1248,1979-01-21
1249,1979-02-03
1250,1979-02-04
1251,1979-02-06
1252,1979-02-07
1253,1979-02-09
1254,1979-02-10
1255,1979-02-11
1256,1979-02-17
1257,1979-04-22
1258,1979-05-03
1259,1979-05-04
1260,1979-05-05
1261,1979-05-07
1262,1979-05-08
1263,1979-05-09
1264,1979-05-11
1265,1979-05-12
1266,1979-05-13
1267,1979-06-28
1268,1979-06-30
1269,1979-07-01
1270,1979-08-04
1271,1979-08-05
1272,1979-08-12
1273,1979-08-13
1274,1979-08-14
1275,1979-08-31
1276,1979-09-01
1277,1979-09-02
1278,1979-09-04
1279,1979-09-05
1280,1979-09-06
1281,1979-10-24
1282,1979-10-25
1283,1979-10-27
1284,1979-10-28
1285,1979-10-31
1286,1979-11-01
1287,1979-11-02
1288,1979-11-04
1289,1979-11-05
1290,1979-11-06
1291,1979-11-08
1292,1979-11-09
1293,1979-11-10
1294,1979-11-23
1295,1979-11-24
1296,1979-11-25
1297,1979-11-29
1298,1979-11-30
1299,1979-12-01
1300,1979-12-03
1301,1979-12-04
1302,1979-12-05
1303,1979-12-07
1304,1979-12-09
1305,1979-12-10
1306,1979-12-11
1307,1979-12-26
1308,1979-12-27
1309,1979-12-28
1310,1979-12-30
1311,1979-12-31
1312,1980-01-13
1313,1980-03-30
1314,1980-03-31
1315,1980-04-01
1316,1980-04-05
1317,1980-04-28
1318,1980-04-29
1319,1980-05-01
1320,1980-05-02
1321,1980-05-04
1322,1980-05-06
1323,1980-05-07
1324,1980-05-08
1325,1980-05-10
1326,1980-05-11
1327,1980-05-12
1328,1980-05-14
1329,1980-05-15
1330,1980-05-16
1331,1980-05-29
1332,1980-05-30
1333,1980-05-31
1334,1980-06-05
1335,1980-06-07
1336,1980-06-08
1337,1980-06-12
1338,1980-06-13
1339,1980-06-14
1340,1980-06-19
1341,1980-06-20
1342,1980-06-21
1343,1980-06-29
1344,1980-07-01
1345,1980-08-16
1346,1980-08-17
1347,1980-08-19
1348,1980-08-20
1349,1980-08-21
1350,1980-08-23
1351,1980-08-24
1352,1980-08-26
1353,1980-08-27
1354,1980-08-29
1355,1980-08-30
1356,1980-08-31
1357,1980-09-02
1358,1980-09-03
1359,1980-09-04
1360,1980-09-06
1361,1980-09-25
1362,1980-09-26
1363,1980-09-27
1364,1980-09-29
1365,1980-09-30
1366,1980-10-02
1367,1980-10-03
1368,1980-10-04
1369,1980-10-06
1370,1980-10-07
1371,1980-10-09
1372,1980-10-10
1373,1980-10-11
1374,1980-10-13
1375,1980-10-14
1376,1980-10-18
1377,1980-10-19
1378,1980-10-22
1379,1980-10-23
1380,1980-10-25
1381,1980-10-26
1382,1980-10-27
1383,1980-10-29
1384,1980-10-30
1385,1980-10-31
1386,1980-11-26
1387,1980-11-28
1388,1980-11-29
1389,1980-11-30
1390,1980-12-06
1391,1980-12-12
1392,1980-12-13
1393,1980-12-14
1394,1980-12-26
1395,1980-12-27
1396,1980-12-28
1397,1980-12-30
1398,1980-12-31
1399,1981-02-26
1400,1981-02-27
1401,1981-02-28
1402,1981-03-02
1403,1981-03-03
1404,1981-03-05
1405,1981-03-06
1406,1981-03-07
1407,1981-03-09
1408,1981-03-10
1409,1981-03-12
1410,1981-03-13
1411,1981-03-14
1412,1981-03-20
1413,1981-03-21
1414,1981-03-23
1415,1981-03-24
1416,1981-03-28
1417,1981-04-25
1418,1981-04-30
1419,1981-05-01
1420,1981-05-02
1421,1981-05-04
1422,1981-05-05
1423,1981-05-06
1424,1981-05-07
1425,1981-05-08
1426,1981-05-09
1427,1981-05-11
1428,1981-05-12
1429,1981-05-13
1430,1981-05-15
1431,1981-05-16
1432,1981-05-17
1433,1981-05-22
1434,1981-07-02
1435,1981-07-04
1436,1981-07-05
1437,1981-07-07
1438,1981-07-08
1439,1981-07-10
1440,1981-07-11
1441,1981-07-13
1442,1981-07-14
1443,1981-08-12
1444,1981-08-14
1445,1981-08-15
1446,1981-08-16
1447,1981-08-27
1448,1981-08-28
1449,1981-08-30
1450,1981-08-31
1451,1981-09-11
1452,1981-09-12
1453,1981-09-13
1454,1981-09-25
1455,1981-09-26
1456,1981-09-27
1457,1981-09-30
1458,1981-10-02
1459,1981-10-03
1460,1981-10-04
1461,1981-10-06
1462,1981-10-08
1463,1981-10-10
1464,1981-10-11
1465,1981-10-12
1466,1981-10-13
1467,1981-10-15
1468,1981-10-16
1469,1981-10-17
1470,1981-10-19
1471,1981-11-29
1472,1981-11-30
1473,1981-12-02
1474,1981-12-03
1475,1981-12-05
1476,1981-12-06
1477,1981-12-07
1478,1981-12-09
1479,1981-12-12
1480,1981-12-26
1481,1981-12-27
1482,1981-12-28
1483,1981-12-30
1484,1981-12-31
1485,1982-02-16
1486,1982-02-17
1487,1982-02-19
1488,1982-02-20
1489,1982-02-21
1490,1982-03-13
1491,1982-03-14
1492,1982-04-02
1493,1982-04-03
1494,1982-04-05
1495,1982-04-06
1496,1982-04-08
1497,1982-04-09
1498,1982-04-11
1499,1982-04-12
1500,1982-04-13
1501,1982-04-14
1502,1982-04-15
1503,1982-04-17
1504,1982-04-18
1505,1982-04-19
1506,1982-05-21
1507,1982-05-22
1508,1982-05-23
1509,1982-05-28
1510,1982-07-17
1511,1982-07-18
1512,1982-07-25
1513,1982-07-27
1514,1982-07-28
1515,1982-07-29
1516,1982-07-31
1517,1982-08-01
1518,1982-08-03
1519,1982-08-04
1520,1982-08-06
1521,1982-08-07
1522,1982-08-08
1523,1982-08-10
1524,1982-08-28
1525,1982-08-29
1526,1982-09-05
1527,1982-09-09
1528,1982-09-11
1529,1982-09-12
1530,1982-09-14
1531,1982-09-15
1532,1982-09-17
1533,1982-09-18
1534,1982-09-20
1535,1982-09-21
1536,1982-09-23
1537,1982-09-24
1538,1982-10-09
1539,1982-10-10
1540,1982-10-17
1541,1982-11-25
1542,1982-12-26
1543,1982-12-27
1544,1982-12-28
1545,1982-12-30
1546,1982-12-31
1547,1983-03-02
1548,1983-03-25
1549,1983-03-26
1550,1983-03-27
1551,1983-03-29
1552,1983-03-30
1553,1983-03-31
1554,1983-04-09
1555,1983-04-10
1556,1983-04-12
1557,1983-04-13
1558,1983-04-15
1559,1983-04-16
1560,1983-04-17
1561,1983-04-19
1562,1983-04-20
1563,1983-04-22
1564,1983-04-23
1565,1983-04-25
1566,1983-04-26
1567,1983-05-13
1568,1983-05-14
1569,1983-05-15
1570,1983-06-18
1571,1983-06-20
1572,1983-06-21
1573,1983-06-22
1574,1983-06-24
1575,1983-06-25
1576,1983-06-27
1577,1983-06-28
1578,1983-07-30
1579,1983-07-31
1580,1983-08-20
1581,1983-08-21
1582,1983-08-26
1583,1983-08-27
1584,1983-08-29
1585,1983-08-30
1586,1983-08-31
1587,1983-09-02
1588,1983-09-04
1589,1983-09-06
1590,1983-09-07
1591,1983-09-08
1592,1983-09-10
1593,1983-09-11
1594,1983-09-13
1595,1983-09-18
1596,1983-09-24
1597,1983-10-08
1598,1983-10-09
1599,1983-10-11
1600,1983-10-12
1601,1983-10-14
1602,1983-10-15
1603,1983-10-17
1604,1983-10-18
1605,1983-10-20
1606,1983-10-21
1607,1983-10-22
1608,1983-10-30
1609,1983-10-31
1610,1983-12-27
1611,1983-12-28
1612,1983-12-30
1613,1983-12-31
1614,1984-03-28
1615,1984-03-29
1616,1984-03-31
1617,1984-04-01
1618,1984-04-06
1619,1984-04-07
1620,1984-04-13
1621,1984-04-14
1622,1984-04-16
1623,1984-04-17
1624,1984-04-19
1625,1984-04-20
1626,1984-04-21
1627,1984-04-23
1628,1984-04-24
1629,1984-04-26
1630,1984-04-27
1631,1984-04-29
1632,1984-04-30
1633,1984-05-06
1634,1984-05-07
1635,1984-05-08
1636,1984-06-09
1637,1984-06-10
1638,1984-06-12
1639,1984-06-13
1640,1984-06-14
1641,1984-06-21
1642,1984-06-23
1643,1984-06-24
1644,1984-06-26
1645,1984-06-27
1646,1984-06-29
1647,1984-06-30
1648,1984-07-01
1649,1984-07-03
1650,1984-07-04
1651,1984-07-06
1652,1984-07-07
1653,1984-07-13
1654,1984-07-14
1655,1984-07-15
1656,1984-07-21
1657,1984-07-22
1658,1984-10-05
1659,1984-10-06
1660,1984-10-08
1661,1984-10-09
1662,1984-10-11
1663,1984-10-12
1664,1984-10-14
1665,1984-10-15
1666,1984-10-17
1667,1984-10-18
1668,1984-10-20
1669,1984-10-27
1670,1984-10-28
1671,1984-10-30
1672,1984-10-31
1673,1984-11-02
1674,1984-11-03
1675,1984-12-28
1676,1984-12-29
1677,1984-12-31
1678,1985-02-18
1679,1985-02-19
1680,1985-02-20
1681,1985-03-09
1682,1985-03-10
1683,1985-03-12
1684,1985-03-13
1685,1985-03-21
1686,1985-03-22
1687,1985-03-24
1688,1985-03-25
1689,1985-03-27
1690,1985-03-28
1691,1985-03-29
1692,1985-03-31
1693,1985-04-01
1694,1985-04-03
1695,1985-04-04
1696,1985-04-06
1697,1985-04-07
1698,1985-04-08
1699,1985-04-13
1700,1985-04-14
1701,1985-04-27
1702,1985-04-28
1703,1985-06-14
1704,1985-06-15
1705,1985-06-16
1706,1985-06-21
1707,1985-06-22
1708,1985-06-24
1709,1985-06-25
1710,1985-06-27
1711,1985-06-28
1712,1985-06-30
1713,1985-07-01
1714,1985-07-02
1715,1985-07-13
1716,1985-07-14
1717,1985-08-24
1718,1985-08-30
1719,1985-08-31
1720,1985-09-02
1721,1985-09-03
1722,1985-09-05
1723,1985-09-06
1724,1985-09-07
1725,1985-09-10
1726,1985-09-11
1727,1985-09-12
1728,1985-09-15
1729,1985-10-25
1730,1985-10-26
1731,1985-10-28
1732,1985-10-29
1733,1985-10-31
1734,1985-11-01
1735,1985-11-02
1736,1985-11-04
1737,1985-11-05
1738,1985-11-07
1739,1985-11-08
1740,1985-11-10
1741,1985-11-11
1742,1985-11-16
1743,1985-11-17
1744,1985-11-20
1745,1985-11-21
1746,1985-11-22
1747,1985-12-30
1748,1985-12-31
1749,1986-02-08
1750,1986-02-09
1751,1986-02-11
1752,1986-02-12
1753,1986-02-14
1754,1986-03-19
1755,1986-03-20
1756,1986-03-21
1757,1986-03-23
1758,1986-03-24
1759,1986-03-25
1760,1986-03-27
1761,1986-03-28
1762,1986-03-30
1763,1986-03-31
1764,1986-04-01
1765,1986-04-03
1766,1986-04-04
1767,1986-04-12
1768,1986-04-13
1769,1986-04-18
1770,1986-04-19
1771,1986-04-21
1772,1986-04-22
1773,1986-05-03
1774,1986-05-04
1775,1986-05-10
1776,1986-05-11
1777,1986-06-20
1778,1986-06-21
1779,1986-06-22
1780,1986-06-26
1781,1986-06-28
1782,1986-06-29
1783,1986-06-30
1784,1986-07-02
1785,1986-07-04
1786,1986-07-06
1787,1986-07-07
1788,1986-12-15
1789,1986-12-16
1790,1986-12-17
1791,1986-12-27
1792,1986-12-28
1793,1986-12-30
1794,1986-12-31
1795,1987-01-28
1796,1987-01-29
1797,1987-01-30
1798,1987-03-01
1799,1987-03-02
1800,1987-03-03
1801,1987-03-22
1802,1987-03-23
1803,1987-03-24
1804,1987-03-26
1805,1987-03-27
1806,1987-03-29
1807,1987-03-30
1808,1987-03-31
1809,1987-04-02
1810,1987-04-03
1811,1987-04-04
1812,1987-04-06
1813,1987-04-07
1814,1987-04-09
1815,1987-04-10
1816,1987-04-11
1817,1987-04-17
1818,1987-04-18
1819,1987-04-19
1820,1987-05-02
1821,1987-05-03
1822,1987-05-09
1823,1987-05-10
1824,1987-06-12
1825,1987-06-13
1826,1987-06-14
1827,1987-06-19
